Id,y,x1,x2,x3,x4,x5,X^2,,,,,expo^x,,,,,cos(x),,,,,const
0,-5.5221135713,1.764052346,0.4001572084,0.9787379841,2.2408931992,1.8675579901,3.1118806793,0.1601257914,0.9579280415,5.0216023302,3.4877728466,5.8360391907,1.4920592434,2.6610957767,9.4017251516,6.472471246,-0.1920553128,0.9209997628,0.5580702038,-0.6210619148,-0.2924249614,1
1,-21.7899801071,-0.9772778799,0.9500884175,-0.1513572083,-0.1032188518,0.4105985019,0.9550720545,0.9026680011,0.0229090045,0.0106541314,0.1685911298,0.3763341325,2.5859382915,0.8595406088,0.901929563,1.5077198884,0.5592811938,0.581611167,0.9885673487,0.9946776622,0.9168820901,1
2,-7.9114968776,0.1440435712,1.454273507,0.7610377251,0.1216750165,0.4438632327,0.0207485504,2.1149114331,0.5791784191,0.0148048096,0.1970145694,1.1549344293,4.2813719486,2.1404963152,1.12938701,1.5587172896,0.98964365,0.116259316,0.7241207095,0.9926067233,0.9030994125,1
3,-3.6980618712,0.3336743274,1.4940790732,-0.2051582638,0.3130677017,-0.8540957393,0.1113385567,2.2322722768,0.0420899132,0.0980113858,0.7294795319,1.3960884018,4.4552317205,0.8145183975,1.3676141176,0.4256679319,0.9448453199,0.0766420221,0.979028755,0.9513932614,0.6569005702,1
4,-16.0018326562,-2.5529898158,0.6536185954,0.8644361989,-0.7421650204,2.269754624,6.5177569998,0.4272172683,0.7472499419,0.5508089175,5.1517860531,0.0778485648,1.9224849527,2.3736674322,0.4760820715,9.6770260127,-0.8317171944,0.7938886665,0.6490691189,0.7370069821,-0.6434205996,1
5,-1.4948247068,-1.4543656746,0.0457585173,-0.18718385,1.5327792144,1.4693587699,2.1151795155,0.0020938419,0.0350377937,2.34941212,2.1590151947,0.2335484626,1.0468215911,0.8292912572,4.6310295776,4.3464471745,0.1161677729,0.9989532617,0.9825321954,0.0380079554,0.1012636881,1
6,-1.5254342704,0.1549474257,0.3781625196,-0.8877857476,-1.9807964682,-0.3479121493,0.0240087047,0.1430068912,0.7881635337,3.9235546485,0.1210428636,1.1675965739,1.4596001372,0.4115660557,0.1379593133,0.7061609102,0.9880196458,0.9293446265,0.6311311152,-0.3986094577,0.9400865843,1
7,-21.3846255949,0.1563489691,1.2302906807,1.2023798488,-0.3873268174,-0.3023027506,0.0244450001,1.5136151591,1.4457173008,0.1500220635,0.091386953,1.1692341585,3.4222241663,3.3280277085,0.6788691924,0.7391142637,0.9878023779,0.3339637497,0.3601386183,0.925922067,0.9546534475,1
8,-27.0095064748,-1.0485529651,-1.4200179372,-1.7062701906,1.9507753952,-0.5096521818,1.0994633206,2.0164509419,2.9113579634,3.8055246426,0.2597453464,0.3504444878,0.2417096813,0.1815416472,7.0341397049,0.6007044785,0.4988257182,0.1502077363,-0.1350598482,-0.3709010309,0.8729142518,1
9,2.1089461573,-0.4380743016,-1.25279536,0.7774903558,-1.6138978476,-0.2127402802,0.1919090937,1.5694962142,0.6044912534,2.6046662624,0.0452584268,0.6452778359,0.2857050311,2.1760044104,0.1991099991,0.8083660586,0.9055702161,0.3126683802,0.7126762785,-0.0430881768,0.9774560048,1
